data,consumo_kw
2024-01-01,"412,429"
2024-02-01,"426,612"
2024-03-01,"427,194"
2024-04-01,"417,353"
2024-05-01,"403,353"
2024-06-01,"431,713"
2024-07-01,"425,894"
2024-08-01,"438,646"
2024-09-01,"390,154"
2024-10-01,"371,976"
2024-11-01,"447,018"
2024-12-01,"425,618"
2024-01-01,"5552,03"
2024-02-01,"5929,599"
2024-03-01,"5768,589"
2024-04-01,"5515,818"
2024-05-01,"5264,089"
2024-06-01,"5842,387"
2024-07-01,"5868,728"
2024-08-01,"5853,024"
2024-09-01,"5393,489"
2024-10-01,"4996,012"
2024-11-01,"5725,42"
2024-12-01,"5984,415"
2024-01-01,"14754,331"
2024-02-01,"16134,483"
2024-03-01,"15759,436"
2024-04-01,"15484,784"
2024-05-01,"14671,697"
2024-06-01,"16434,149"
2024-07-01,"16019,791"
2024-08-01,"16151,997"
2024-09-01,"14434,164"
2024-10-01,"13273,843"
2024-11-01,"15626,679"
2024-12-01,"16127,13"
2024-01-01,"19491,058"
2024-02-01,"20353,226"
2024-03-01,"20105,381"
2024-04-01,"20468,449"
2024-05-01,"19946,298"
2024-06-01,"20735,003"
2024-07-01,"20431,43"
2024-08-01,"21269,443"
2024-09-01,"19670,61"
2024-10-01,"18820,324"
2024-11-01,"21359,124"
2024-12-01,"21676,459"
2024-01-01,"18811,693"
2024-02-01,"18495,117"
2024-03-01,"19003,832"
2024-04-01,"19555,969"
2024-05-01,"20005,545"
2024-06-01,"17880,772"
2024-07-01,"18581,334"
2024-08-01,"19135,898"
2024-09-01,"20072,047"
2024-10-01,"20465,208"
2024-11-01,"20239,161"
2024-12-01,"19734,279"
2024-01-01,"15043,833"
2024-02-01,"13994,581"
2024-03-01,"14764,096"
2024-04-01,"15757,668"
2024-05-01,"16729,492"
2024-06-01,"13193,735"
2024-07-01,"14506,181"
2024-08-01,"15176,28"
2024-09-01,"17208,32"
2024-10-01,"19152,062"
2024-11-01,"16282,294"
2024-12-01,"15367,322"
2024-01-01,"33053,798"
2024-02-01,"27492,317"
2024-03-01,"30569,558"
2024-04-01,"33003,088"
2024-05-01,"38445,989"
2024-06-01,"25810,551"
2024-07-01,"31939,456"
2024-08-01,"33270,726"
2024-09-01,"42243,83"
2024-10-01,"50432,037"
2024-11-01,"35192,624"
2024-12-01,"31325,829"
2024-01-01,"15937,509"
2024-02-01,"12406,993"
2024-03-01,"14153,58"
2024-04-01,"15484,081"
2024-05-01,"17712,642"
2024-06-01,"17420,226"
2024-07-01,"15008,127"
2024-08-01,"14854,692"
2024-09-01,"21377,989"
2024-10-01,"25339,639"
2024-11-01,"15896,795"
2024-12-01,"16135,359"
2024-01-01,"87,229"
2024-02-01,"80,154"
2024-03-01,"77,004"
2024-04-01,"76,097"
2024-05-01,"73,315"
2024-06-01,"77,839"
2024-07-01,"75,956"
2024-08-01,"72,309"
2024-09-01,"72,347"
2024-10-01,"69,596"
2024-11-01,"67,785"
2024-12-01,"76,981"
2024-01-01,"905,895"
2024-02-01,"910,363"
2024-03-01,"884,982"
2024-04-01,"781,415"
2024-05-01,"753,354"
2024-06-01,"901,183"
2024-07-01,911
2024-08-01,"860,261"
2024-09-01,"783,051"
2024-10-01,"704,682"
2024-11-01,"793,313"
2024-12-01,"869,258"
2024-01-01,"4452,128"
2024-02-01,"4492,51"
2024-03-01,"4443,715"
2024-04-01,"4167,768"
2024-05-01,"4067,224"
2024-06-01,"4689,09"
2024-07-01,"4679,289"
2024-08-01,"4403,406"
2024-09-01,"4157,603"
2024-10-01,"3849,038"
2024-11-01,"4162,068"
2024-12-01,"4483,408"
2024-01-01,"19507,207"
2024-02-01,"16351,618"
2024-03-01,"16674,853"
2024-04-01,"17376,626"
2024-05-01,"18892,874"
2024-06-01,"16773,586"
2024-07-01,"17282,024"
2024-08-01,"16521,343"
2024-09-01,"20103,899"
2024-10-01,"22968,436"
2024-11-01,"18327,228"
2024-12-01,"17714,411"
2024-01-01,"1,26"
2024-02-01,"1,189"
2024-03-01,"1,321"
2024-04-01,"1,378"
2024-05-01,"1,3"
2024-06-01,"1,32"
2024-07-01,"1,44"
2024-08-01,"1,59"
2024-09-01,"1,41"
2024-10-01,"1,44"
