data,consumidores,consumo_kw,"temperatura_do_ar___bulbo_seco,_horaria_(c)",temperatura_do_ponto_de_orvalho_(c),temperatura_maxima_na_hora_ant._(aut)_(c),temperatura_minima_na_hora_ant._(aut)_(c),temperatura_orvalho_max._na_hora_ant._(aut)_(c),temperatura_orvalho_min._na_hora_ant._(aut)_(c),temp._ins._(c),temp._max._(c),temp._min._(c)
20140101,583,151,,,,,,,,,
20150801,793,1586,,,,,,,,,
20220501,1,"65,231",,,,,,,,,
20130201,2,3696,,,,,,,,,
20200401,625,,,,,,,,,,
20160601,1,12032,,,,,,,,,
20160801,132,9282,,,,,,,,,
20120101,5012,6354,,,,,,,,,
20180901,130984,"28695,936",,,,,,,,,
20230101,75561,"11329,136",,,,,,,,,
20141101,164,345,,,,,,,,,
20130901,187487,26476,,,,,,,,,
20240401,1,"22,395",,,,,,,,,
20230301,238,"5272,067",,,,,,,,,
20180701,1,"20,373",,,,,,,,,
20120701,6724,12972,,,,,,,,,
20130901,5,1573,,,,,,,,,
20200101,2,"535,615",,,,,,,,,
20210301,54,40,,,,,,,,,
20180301,5,"120,581",,,,,,,,,
20140701,2,,,,,,,,,,
20200501,1,"5,991",,,,,,,,,
20160401,5,1703,,,,,,,,,
20181001,8623,15559,,,,,,,,,
20240401,5596,"166,145",,,,,,,,,
20120701,23,42191,,,,,,,,,
20110901,24643,8531,,,,,,,,,
20120401,957,34025,,,,,,,,,
20120201,71,2048,,,,,,,,,
20161101,7,28192,,,,,,,,,
20190701,8,,,,,,,,,,
20220701,1,19,,,,,,,,,
20180101,9,"31,696",,,,,,,,,
20140801,38403,5521,,,,,,,,,
20170301,4,3532,,,,,,,,,
20160401,9890,304,,,,,,,,,
20110701,284,242,,,,,,,,,
20200401,129,"2,841",,,,,,,,,
20110601,7043,13415,,,,,,,,,
20210801,5574,"9066,832",,,,,,,,,
20230901,1723,"116,258",,,,,,,,,
20111201,3496,2511,,,,,,,,,
20170501,56,1365,,,,,,,,,
2024/07/30,,,"21,5","10,3","21,5","20,2","11,5","10,3",,,
20210801,62810,"44359,542",,,,,,,,,
20220101,18294,"20841,77",,,,,,,,,
20190701,121723,"84199,022",,,,,,,,,
20110201,1,3858,,,,,,,,,
20141201,142,13648,,,,,,,,,
20130901,,1747,,,,,,,,,
20160701,5,4543,,,,,,,,,
20230201,713,"30981,787",,,,,,,,,
20200401,1,,,,,,,,,,
20220101,319650,"5261,098",,,,,,,,,
20180401,49,"3853,519",,,,,,,,,
20150401,11,156272,,,,,,,,,
20210601,7831,"1856,252",,,,,,,,,
