
		=====| REDE NEURAL ARTIFICIAL EVOLUTIVA |=====

	OBJETIVO: Aprendizado da Funcao Logica P E Q.

	Licoes:
	 LICAO    P    Q  (Resultado Esperado)
	+------+----+----+---------------------+
	(1) - 0   0   0
	(2) - 0   1   0
	(3) - 1   0   0
	(4) - 1   1   1


	Learning Rate: 0.20
	Sinapse Threshold: 0.60
	Populacao MAXIMA: 300.
	3 MUTACOES a cada sequencia de 5 GERACOES.
	TOTAL de GERACOES: 10.




	INICIO DO TREINAMENTO: Dia: 8   Mes: 5   Ano: 2024

Dia da Semana: 3.
14:4:7.


	 TABELA DE INDIVIDUOS:
| 	(1) 	| numero = 1 	| endr = 0067FE80 	| err = 0 	| 1 -> 2 	| genes = 0.46,0.45,0.59,0.04,0.88,0.72,	|
| 	(1) 	| numero = 2 	| endr = 0067FE80 	| err = 0 	| 2 -> 13 	| genes = 0.50,0.25,0.50,0.95,0.57,0.26,	|
| 	(1) 	| numero = 13 	| endr = 0067FE80 	| err = 0 	| 13 -> 17 	| genes = 0.12,0.15,0.55,0.51,0.41,0.67,	|
| 	(1) 	| numero = 17 	| endr = 0067FE80 	| err = 0 	| 17 -> 20 	| genes = 0.59,0.20,0.31,0.49,0.27,0.93,	|
| 	(1) 	| numero = 20 	| endr = 0067FE80 	| err = 0 	| 20 -> 21 	| genes = 0.36,0.90,0.28,0.88,0.42,0.30,	|
| 	(1) 	| numero = 21 	| endr = 0067FE80 	| err = 0 	| 21 -> 24 	| genes = 0.38,0.12,0.25,0.50,0.10,0.81,	|
| 	(1) 	| numero = 24 	| endr = 0067FE80 	| err = 0 	| 24 -> 34 	| genes = 0.48,0.54,0.26,0.84,0.51,0.84,	|
| 	(1) 	| numero = 34 	| endr = 0067FE80 	| err = 0 	| 34 -> 55 	| genes = 0.18,0.32,0.49,0.00,0.85,0.85,	|
| 	(1) 	| numero = 55 	| endr = 0067FE80 	| err = 0 	| 55 -> 60 	| genes = 0.39,0.65,0.30,0.56,0.87,0.06,	|
| 	(1) 	| numero = 60 	| endr = 0067FE80 	| err = 0 	| 60 -> 61 	| genes = 0.53,0.82,0.25,0.97,0.97,0.10,	|
| 	(1) 	| numero = 61 	| endr = 0067FE80 	| err = 0 	| 61 -> 66 	| genes = 0.67,0.52,0.55,0.16,0.51,0.23,	|
| 	(1) 	| numero = 66 	| endr = 0067FE80 	| err = 0 	| 66 -> 68 	| genes = 0.97,0.29,0.51,0.32,0.12,0.97,	|
| 	(1) 	| numero = 68 	| endr = 0067FE80 	| err = 0 	| 68 -> 70 	| genes = 0.08,0.44,0.53,0.36,1.00,0.85,	|
| 	(1) 	| numero = 70 	| endr = 0067FE80 	| err = 0 	| 70 -> 72 	| genes = 0.40,0.33,0.46,0.34,0.78,0.43,	|
| 	(1) 	| numero = 72 	| endr = 0067FE80 	| err = 0 	| 72 -> 75 	| genes = 0.27,0.15,0.46,0.17,0.97,0.71,	|
| 	(1) 	| numero = 75 	| endr = 0067FE80 	| err = 0 	| 75 -> 82 	| genes = 0.26,0.53,0.46,0.86,0.71,0.60,	|
| 	(1) 	| numero = 82 	| endr = 0067FE80 	| err = 0 	| 82 -> 84 	| genes = 0.99,0.50,0.08,0.47,0.19,0.49,	|
| 	(1) 	| numero = 84 	| endr = 0067FE80 	| err = 0 	| 84 -> 96 	| genes = 0.35,0.39,0.53,0.67,0.69,0.68,	|
| 	(1) 	| numero = 96 	| endr = 0067FE80 	| err = 0 	| 96 -> 103 	| genes = 0.13,0.34,0.56,0.57,0.97,0.50,	|
| 	(1) 	| numero = 103 	| endr = 0067FE80 	| err = 0 	| 103 -> 111 	| genes = 0.61,0.30,0.55,0.40,0.53,0.73,	|
| 	(1) 	| numero = 111 	| endr = 0067FE80 	| err = 0 	| 111 -> 137 	| genes = 0.55,0.24,0.08,0.98,0.96,0.65,	|
| 	(1) 	| numero = 137 	| endr = 0067FE80 	| err = 0 	| 137 -> 155 	| genes = 0.58,0.53,0.26,0.98,0.59,0.75,	|
| 	(1) 	| numero = 155 	| endr = 0067FE80 	| err = 0 	| 155 -> 167 	| genes = 0.56,0.51,0.24,0.60,0.31,0.57,	|
| 	(1) 	| numero = 167 	| endr = 0067FE80 	| err = 0 	| 167 -> 168 	| genes = 0.13,0.68,0.50,0.73,0.77,0.34,	|
| 	(1) 	| numero = 168 	| endr = 0067FE80 	| err = 0 	| 168 -> 169 	| genes = 0.59,0.61,0.32,0.42,0.98,0.34,	|
| 	(1) 	| numero = 169 	| endr = 0067FE80 	| err = 0 	| 169 -> 177 	| genes = 0.31,0.29,0.55,0.48,0.56,0.95,	|
| 	(1) 	| numero = 177 	| endr = 0067FE80 	| err = 0 	| 177 -> 179 	| genes = 0.19,0.97,0.41,0.67,0.92,0.43,	|
| 	(1) 	| numero = 179 	| endr = 0067FE80 	| err = 0 	| 179 -> 196 	| genes = 0.15,0.65,0.45,0.10,0.76,0.02,	|
| 	(1) 	| numero = 196 	| endr = 0067FE80 	| err = 0 	| 196 -> 198 	| genes = 1.00,0.63,0.06,0.19,0.38,0.27,	|
| 	(1) 	| numero = 198 	| endr = 0067FE80 	| err = 0 	| 198 -> 203 	| genes = 0.30,0.27,0.32,0.66,0.95,0.12,	|
| 	(1) 	| numero = 203 	| endr = 0067FE80 	| err = 0 	| 203 -> 211 	| genes = 0.77,0.06,0.06,0.54,0.59,0.72,	|
| 	(1) 	| numero = 211 	| endr = 0067FE80 	| err = 0 	| 211 -> 212 	| genes = 0.57,0.26,0.04,0.96,0.64,0.55,	|
| 	(1) 	| numero = 212 	| endr = 0067FE80 	| err = 0 	| 212 -> 233 	| genes = 0.34,0.27,0.54,0.33,0.22,0.94,	|
| 	(1) 	| numero = 233 	| endr = 0067FE80 	| err = 0 	| 233 -> 234 	| genes = 0.95,0.44,0.34,0.21,0.57,0.71,	|
| 	(1) 	| numero = 234 	| endr = 0067FE80 	| err = 0 	| 234 -> 246 	| genes = 0.61,0.93,0.56,0.14,0.36,0.37,	|
| 	(1) 	| numero = 246 	| endr = 0067FE80 	| err = 0 	| 246 -> 250 	| genes = 0.44,0.90,0.46,0.37,0.57,0.26,	|
| 	(1) 	| numero = 250 	| endr = 0067FE80 	| err = 0 	| 250 -> 266 	| genes = 0.40,0.10,0.57,0.93,0.69,0.50,	|
| 	(1) 	| numero = 266 	| endr = 0067FE80 	| err = 0 	| 266 -> 271 	| genes = 0.58,0.89,0.09,0.87,0.27,0.37,	|
| 	(1) 	| numero = 271 	| endr = 0067FE80 	| err = 0 	| 271 -> 281 	| genes = 0.58,0.36,0.22,0.31,0.68,0.76,	|
| 	(1) 	| numero = 281 	| endr = 0067FE80 	| err = 0 	| 281 -> 283 	| genes = 0.34,0.01,0.33,0.09,0.98,0.20,	|
| 	(1) 	| numero = 283 	| endr = 0067FE80 	| err = 0 	| 283 -> 294 	| genes = 0.14,0.16,0.56,0.05,0.96,0.44,	|
| 	(1) 	| numero = 294 	| endr = 0067FE80 	| err = 0 	| 294 -> 295 	| genes = 0.52,0.52,0.20,0.13,0.77,0.12,	|
| 	(1) 	| numero = 295 	| endr = 0067FE80 	| err = 0 	| 295 -> 299 	| genes = 0.74,0.87,0.29,0.25,0.55,0.44,	|
| 	(1) 	| numero = 299 	| endr = 0067FE80 	| err = 0 	| 299 -> 300 	| genes = 0.41,0.61,0.54,0.47,0.97,0.49,	|
| 	(1) 	| numero = 300 	| endr = 0067FE80 	| err = 0 	| 300 -> 301 	| genes = 0.50,0.08,0.26,0.08,0.60,0.75,	|
| 	(1) 	| numero = 301 	| endr = 0067FE80 	| err = 0 	| 301 -> 302 	| genes = 0.46,0.45,0.59,0.95,0.57,0.26,	|
| 	(1) 	| numero = 302 	| endr = 0067FE80 	| err = 0 	| 302 -> 305 	| genes = 0.50,0.25,0.50,0.04,0.88,0.72,	|
| 	(1) 	| numero = 305 	| endr = 0067FE80 	| err = 0 	| 305 -> 350 	| genes = 0.50,0.25,0.50,0.91,0.70,1.00,	|
| 	(1) 	| numero = 350 	| endr = 0067FE80 	| err = 0 	| 350 -> 362 	| genes = 0.84,0.25,0.28,0.51,0.41,0.67,	|
| 	(1) 	| numero = 362 	| endr = 0067FE80 	| err = 0 	| 362 -> 365 	| genes = 0.59,0.20,0.31,0.26,0.96,0.46,	|
| 	(1) 	| numero = 365 	| endr = 0067FE80 	| err = 0 	| 365 -> 378 	| genes = 0.59,0.20,0.31,0.69,0.64,0.48,	|
