id_acesso,usuario,data_hora,ip_origem,status
1,lucas_ti,2023-10-31 17:57:28,145.98.77.97,Falha
2,paulo_fin,2023-11-18 17:28:55,192.168.1.166,Sucesso
3,bruna_ads,2023-11-20 17:35:39,69.68.226.21,Sucesso
4,adm_jose,2023-11-08 18:55:36,1.243.75.38,Sucesso
5,paulo_fin,2023-11-27 08:42:26,192.168.1.177,Sucesso
6,joao_dev,2023-12-09 22:04:28,192.168.1.28,Sucesso
7,marina_mkt,2023-11-08 13:08:36,196.73.91.10,Sucesso
8,adm_jose,2023-11-26 00:48:16,60.190.86.73,Falha
9,rafael_ops,2023-11-05 23:59:30,192.168.1.17,Sucesso
10,bruna_ads,2023-11-20 02:35:09,204.251.218.145,Sucesso
11,joao_dev,2023-11-05 07:19:23,192.168.1.243,Sucesso
12,aline_com,2023-10-26 09:27:48,192.168.1.138,Sucesso
13,joao_dev,2023-12-09 10:03:14,192.168.1.35,Sucesso
14,sandra_gp,2023-11-08 02:22:24,192.168.1.18,Sucesso
15,renato_log,2023-11-30 07:57:26,192.168.1.234,Sucesso
16,tiago_suporte,2023-12-07 08:51:51,192.168.1.229,Sucesso
17,tiago_suporte,2023-11-29 12:52:24,113.204.234.113,Sucesso
18,paulo_fin,2023-11-16 10:45:54,8.230.96.252,Sucesso
19,ana_vendas,2023-11-29 11:56:04,192.168.1.3,Sucesso
20,rafael_ops,2023-11-21 14:40:34,192.168.1.253,Falha
21,ana_vendas,2023-12-05 05:56:54,178.165.212.177,Sucesso
22,lucas_ti,2023-10-25 02:09:19,192.168.1.10,Falha
23,fernanda_sup,2023-10-26 22:29:31,192.168.1.128,Sucesso
24,paulo_fin,2023-11-15 22:57:32,215.247.172.203,Sucesso
25,renato_log,2023-11-19 11:59:48,192.168.1.230,Sucesso
26,lucas_ti,2023-11-19 00:06:34,74.57.73.73,Sucesso
27,sandra_gp,2023-10-30 14:20:06,192.168.1.127,Sucesso
28,aline_com,2023-11-01 14:27:41,156.178.3.155,Falha
29,aline_com,2023-12-08 09:33:09,197.63.53.15,Sucesso
30,paulo_fin,2023-12-09 16:22:57,192.168.1.156,Falha
31,adm_jose,2023-11-25 09:00:48,192.168.1.188,Sucesso
32,tiago_suporte,2023-12-02 04:48:44,192.168.1.76,Falha
33,ana_vendas,2023-12-08 17:13:03,192.168.1.30,Sucesso
34,lucas_ti,2023-11-23 01:13:43,192.168.1.196,Falha
35,bruna_ads,2023-11-15 11:01:44,210.91.181.172,Sucesso
36,renato_log,2023-11-22 15:36:25,192.168.1.249,Sucesso
37,fernanda_sup,2023-11-12 16:38:30,192.168.1.244,Sucesso
38,bruna_ads,2023-11-25 10:50:05,192.168.1.224,Sucesso
39,ana_vendas,2023-11-28 17:25:52,87.124.108.50,Sucesso
40,camila_dp,2023-12-01 09:16:09,234.192.49.169,Falha
41,paulo_fin,2023-11-26 18:37:36,139.243.164.67,Sucesso
42,aline_com,2023-10-25 04:25:02,109.39.1.18,Sucesso
43,ana_vendas,2023-11-24 14:49:35,94.234.7.118,Sucesso
44,aline_com,2023-10-29 18:50:36,192.168.1.156,Sucesso
45,ana_vendas,2023-11-23 03:57:31,5.253.121.120,Falha
46,tiago_suporte,2023-11-07 09:52:16,192.168.1.147,Sucesso
47,marina_mkt,2023-12-03 08:48:52,192.168.1.55,Sucesso
48,lucas_ti,2023-11-07 10:05:31,192.168.1.220,Falha
49,camila_dp,2023-10-29 03:32:27,25.124.168.97,Sucesso
50,fernanda_sup,2023-11-08 06:42:00,121.101.250.121,Falha
51,renato_log,2023-10-30 16:01:21,192.168.1.197,Sucesso
52,tiago_suporte,2023-11-06 07:34:29,192.168.1.198,Sucesso
53,ana_vendas,2023-12-04 04:42:17,249.148.75.91,Sucesso
54,carlos_rh,2023-11-30 23:00:36,157.18.151.244,Sucesso
55,sandra_gp,2023-11-28 12:07:22,192.168.1.193,Sucesso
56,bruna_ads,2023-11-29 14:29:24,192.168.1.113,Sucesso
57,rafael_ops,2023-11-26 11:12:48,97.183.103.94,Sucesso
58,lucas_ti,2023-11-05 06:33:21,53.226.206.26,Sucesso
59,carlos_rh,2023-10-26 19:48:42,236.148.141.58,Sucesso
60,ana_vendas,2023-10-30 05:48:46,99.119.36.122,Sucesso
61,renato_log,2023-10-28 19:57:18,103.31.181.123,Sucesso
62,fernanda_sup,2023-11-08 00:11:07,192.168.1.219,Sucesso
63,fernanda_sup,2023-11-13 00:58:37,192.168.1.107,Sucesso
64,sandra_gp,2023-11-04 20:11:44,192.168.1.111,Falha
65,fernanda_sup,2023-11-21 00:52:52,58.147.37.143,Sucesso
66,camila_dp,2023-10-30 19:22:22,224.47.36.55,Sucesso
67,paulo_fin,2023-11-03 08:16:32,192.168.1.235,Sucesso
68,carlos_rh,2023-11-22 23:05:49,192.168.1.27,Sucesso
69,rafael_ops,2023-11-14 11:24:42,215.205.224.110,Sucesso
70,camila_dp,2023-11-29 12:13:04,224.42.214.212,Falha
71,lucas_ti,2023-10-28 22:09:36,192.168.1.23,Sucesso
72,bruna_ads,2023-12-09 16:17:29,192.168.1.38,Falha
73,tiago_suporte,2023-11-21 21:26:01,192.168.1.165,Sucesso
74,rafael_ops,2023-12-07 09:07:39,192.168.1.106,Falha
75,fernanda_sup,2023-11-20 01:50:44,192.168.1.244,Sucesso
76,sandra_gp,2023-11-23 03:24:24,192.168.1.145,Sucesso
77,ana_vendas,2023-12-05 23:40:00,77.103.71.203,Sucesso
78,tiago_suporte,2023-12-09 15:16:14,224.102.240.200,Sucesso
79,sandra_gp,2023-11-20 06:55:54,192.168.1.43,Sucesso
80,camila_dp,2023-12-05 02:06:09,83.181.104.99,Sucesso
81,fernanda_sup,2023-11-03 23:37:26,206.181.57.42,Sucesso
82,renato_log,2023-12-08 22:01:53,192.168.1.17,Falha
83,renato_log,2023-11-13 11:02:35,192.168.1.70,Sucesso
84,marina_mkt,2023-11-23 02:20:10,192.168.1.33,Falha
85,camila_dp,2023-12-01 08:47:51,145.246.106.177,Sucesso
86,marina_mkt,2023-11-17 12:46:54,108.34.200.45,Sucesso
87,fernanda_sup,2023-11-08 23:40:57,192.168.1.253,Falha
88,fernanda_sup,2023-10-30 23:05:20,192.168.1.240,Sucesso
89,camila_dp,2023-11-01 15:31:10,192.168.1.202,Sucesso
90,paulo_fin,2023-11-28 00:35:00,63.243.161.110,Sucesso
91,joao_dev,2023-12-05 01:40:09,81.75.231.169,Sucesso
92,camila_dp,2023-11-03 19:02:00,144.93.73.212,Sucesso
93,adm_jose,2023-11-25 15:42:48,106.206.92.107,Falha
94,bruna_ads,2023-11-15 14:03:20,192.168.1.6,Sucesso
95,ana_vendas,2023-10-25 10:00:56,200.160.122.186,Falha
96,renato_log,2023-11-07 06:59:53,174.111.137.171,Sucesso
97,ana_vendas,2023-12-08 18:38:56,192.168.1.22,Falha
98,sandra_gp,2023-12-07 15:37:54,192.168.1.97,Falha
99,carlos_rh,2023-12-07 05:17:22,192.168.1.100,Sucesso
100,camila_dp,2023-12-03 01:17:56,192.168.1.164,Sucesso
101,ana_vendas,2023-12-03 23:35:40,192.168.1.224,Sucesso
