id_acesso,usuario,data_hora,ip_origem,status,departamento,status_contrato,usuario_encontrado_rh,usuario_ativo,fora_horario,ip_externo
4,adm_jose,2023-11-08 18:55:36,1.243.75.38,Sucesso,,,False,False,True,True
6,joao_dev,2023-12-09 22:04:28,192.168.1.28,Sucesso,,,False,False,True,False
8,adm_jose,2023-11-26 00:48:16,60.190.86.73,Falha,,,False,False,True,True
9,rafael_ops,2023-11-05 23:59:30,192.168.1.17,Sucesso,,,False,False,True,False
10,bruna_ads,2023-11-20 02:35:09,204.251.218.145,Sucesso,,,False,False,True,True
11,joao_dev,2023-11-05 07:19:23,192.168.1.243,Sucesso,,,False,False,True,False
14,sandra_gp,2023-11-08 02:22:24,192.168.1.18,Sucesso,,,False,False,True,False
15,renato_log,2023-11-30 07:57:26,192.168.1.234,Sucesso,,,False,False,True,False
21,ana_vendas,2023-12-05 05:56:54,178.165.212.177,Sucesso,,,False,False,True,True
22,lucas_ti,2023-10-25 02:09:19,192.168.1.10,Falha,,,False,False,True,False
23,fernanda_sup,2023-10-26 22:29:31,192.168.1.128,Sucesso,,,False,False,True,False
24,paulo_fin,2023-11-15 22:57:32,215.247.172.203,Sucesso,,,False,False,True,True
26,lucas_ti,2023-11-19 00:06:34,74.57.73.73,Sucesso,,,False,False,True,True
32,tiago_suporte,2023-12-02 04:48:44,192.168.1.76,Falha,,,False,False,True,False
34,lucas_ti,2023-11-23 01:13:43,192.168.1.196,Falha,,,False,False,True,False
41,paulo_fin,2023-11-26 18:37:36,139.243.164.67,Sucesso,,,False,False,True,True
42,aline_com,2023-10-25 04:25:02,109.39.1.18,Sucesso,,,False,False,True,True
44,aline_com,2023-10-29 18:50:36,192.168.1.156,Sucesso,,,False,False,True,False
45,ana_vendas,2023-11-23 03:57:31,5.253.121.120,Falha,,,False,False,True,True
49,camila_dp,2023-10-29 03:32:27,25.124.168.97,Sucesso,,,False,False,True,True
50,fernanda_sup,2023-11-08 06:42:00,121.101.250.121,Falha,,,False,False,True,True
52,tiago_suporte,2023-11-06 07:34:29,192.168.1.198,Sucesso,,,False,False,True,False
53,ana_vendas,2023-12-04 04:42:17,249.148.75.91,Sucesso,,,False,False,True,True
54,carlos_rh,2023-11-30 23:00:36,157.18.151.244,Sucesso,,,False,False,True,True
58,lucas_ti,2023-11-05 06:33:21,53.226.206.26,Sucesso,,,False,False,True,True
59,carlos_rh,2023-10-26 19:48:42,236.148.141.58,Sucesso,,,False,False,True,True
60,ana_vendas,2023-10-30 05:48:46,99.119.36.122,Sucesso,,,False,False,True,True
61,renato_log,2023-10-28 19:57:18,103.31.181.123,Sucesso,,,False,False,True,True
62,fernanda_sup,2023-11-08 00:11:07,192.168.1.219,Sucesso,,,False,False,True,False
63,fernanda_sup,2023-11-13 00:58:37,192.168.1.107,Sucesso,,,False,False,True,False
64,sandra_gp,2023-11-04 20:11:44,192.168.1.111,Falha,,,False,False,True,False
65,fernanda_sup,2023-11-21 00:52:52,58.147.37.143,Sucesso,,,False,False,True,True
66,camila_dp,2023-10-30 19:22:22,224.47.36.55,Sucesso,,,False,False,True,True
68,carlos_rh,2023-11-22 23:05:49,192.168.1.27,Sucesso,,,False,False,True,False
71,lucas_ti,2023-10-28 22:09:36,192.168.1.23,Sucesso,,,False,False,True,False
73,tiago_suporte,2023-11-21 21:26:01,192.168.1.165,Sucesso,,,False,False,True,False
75,fernanda_sup,2023-11-20 01:50:44,192.168.1.244,Sucesso,,,False,False,True,False
76,sandra_gp,2023-11-23 03:24:24,192.168.1.145,Sucesso,,,False,False,True,False
77,ana_vendas,2023-12-05 23:40:00,77.103.71.203,Sucesso,,,False,False,True,True
79,sandra_gp,2023-11-20 06:55:54,192.168.1.43,Sucesso,,,False,False,True,False
80,camila_dp,2023-12-05 02:06:09,83.181.104.99,Sucesso,,,False,False,True,True
81,fernanda_sup,2023-11-03 23:37:26,206.181.57.42,Sucesso,,,False,False,True,True
82,renato_log,2023-12-08 22:01:53,192.168.1.17,Falha,,,False,False,True,False
84,marina_mkt,2023-11-23 02:20:10,192.168.1.33,Falha,,,False,False,True,False
87,fernanda_sup,2023-11-08 23:40:57,192.168.1.253,Falha,,,False,False,True,False
88,fernanda_sup,2023-10-30 23:05:20,192.168.1.240,Sucesso,,,False,False,True,False
90,paulo_fin,2023-11-28 00:35:00,63.243.161.110,Sucesso,,,False,False,True,True
91,joao_dev,2023-12-05 01:40:09,81.75.231.169,Sucesso,,,False,False,True,True
92,camila_dp,2023-11-03 19:02:00,144.93.73.212,Sucesso,,,False,False,True,True
96,renato_log,2023-11-07 06:59:53,174.111.137.171,Sucesso,,,False,False,True,True
97,ana_vendas,2023-12-08 18:38:56,192.168.1.22,Falha,,,False,False,True,False
99,carlos_rh,2023-12-07 05:17:22,192.168.1.100,Sucesso,,,False,False,True,False
100,camila_dp,2023-12-03 01:17:56,192.168.1.164,Sucesso,,,False,False,True,False
101,ana_vendas,2023-12-03 23:35:40,192.168.1.224,Sucesso,,,False,False,True,False
106,rafael_ops,2023-11-08 01:59:07,192.168.1.62,Sucesso,,,False,False,True,False
107,carlos_rh,2023-10-29 21:51:41,192.168.1.211,Sucesso,,,False,False,True,False
108,aline_com,2023-12-06 04:03:43,192.168.1.78,Sucesso,,,False,False,True,False
115,ana_vendas,2023-10-25 20:42:01,192.168.1.183,Sucesso,,,False,False,True,False
116,aline_com,2023-11-26 18:25:11,19.189.205.86,Falha,,,False,False,True,True
120,tiago_suporte,2023-11-05 03:07:04,192.168.1.1,Sucesso,,,False,False,True,False
121,carlos_rh,2023-11-25 05:14:35,99.202.32.217,Falha,,,False,False,True,True
123,renato_log,2023-11-20 03:16:04,31.167.98.111,Sucesso,,,False,False,True,True
124,aline_com,2023-11-22 22:50:43,133.200.251.200,Sucesso,,,False,False,True,True
125,renato_log,2023-11-16 00:06:15,185.85.169.150,Sucesso,,,False,False,True,True
128,aline_com,2023-11-12 00:45:25,189.30.16.208,Sucesso,,,False,False,True,True
131,sandra_gp,2023-11-08 19:39:30,192.168.1.38,Sucesso,,,False,False,True,False
134,carlos_rh,2023-11-10 21:58:38,192.168.1.83,Falha,,,False,False,True,False
135,fernanda_sup,2023-11-30 20:27:12,176.3.246.44,Sucesso,,,False,False,True,True
137,camila_dp,2023-11-14 18:37:21,192.168.1.26,Sucesso,,,False,False,True,False
140,aline_com,2023-10-25 01:16:05,192.168.1.207,Sucesso,,,False,False,True,False
141,aline_com,2023-11-09 07:17:22,192.168.1.16,Sucesso,,,False,False,True,False
143,fernanda_sup,2023-10-26 20:03:59,88.216.84.210,Sucesso,,,False,False,True,True
