id_acesso,usuario,data_hora,ip_origem,status,departamento,status_contrato,usuario_encontrado_rh,usuario_ativo,fora_horario,ip_externo
3,bruna_ads,2023-11-20 17:35:39,69.68.226.21,Sucesso,,,False,False,False,True
4,adm_jose,2023-11-08 18:55:36,1.243.75.38,Sucesso,,,False,False,True,True
7,marina_mkt,2023-11-08 13:08:36,196.73.91.10,Sucesso,,,False,False,False,True
10,bruna_ads,2023-11-20 02:35:09,204.251.218.145,Sucesso,,,False,False,True,True
17,tiago_suporte,2023-11-29 12:52:24,113.204.234.113,Sucesso,,,False,False,False,True
18,paulo_fin,2023-11-16 10:45:54,8.230.96.252,Sucesso,,,False,False,False,True
21,ana_vendas,2023-12-05 05:56:54,178.165.212.177,Sucesso,,,False,False,True,True
24,paulo_fin,2023-11-15 22:57:32,215.247.172.203,Sucesso,,,False,False,True,True
26,lucas_ti,2023-11-19 00:06:34,74.57.73.73,Sucesso,,,False,False,True,True
29,aline_com,2023-12-08 09:33:09,197.63.53.15,Sucesso,,,False,False,False,True
35,bruna_ads,2023-11-15 11:01:44,210.91.181.172,Sucesso,,,False,False,False,True
39,ana_vendas,2023-11-28 17:25:52,87.124.108.50,Sucesso,,,False,False,False,True
41,paulo_fin,2023-11-26 18:37:36,139.243.164.67,Sucesso,,,False,False,True,True
42,aline_com,2023-10-25 04:25:02,109.39.1.18,Sucesso,,,False,False,True,True
43,ana_vendas,2023-11-24 14:49:35,94.234.7.118,Sucesso,,,False,False,False,True
49,camila_dp,2023-10-29 03:32:27,25.124.168.97,Sucesso,,,False,False,True,True
53,ana_vendas,2023-12-04 04:42:17,249.148.75.91,Sucesso,,,False,False,True,True
54,carlos_rh,2023-11-30 23:00:36,157.18.151.244,Sucesso,,,False,False,True,True
57,rafael_ops,2023-11-26 11:12:48,97.183.103.94,Sucesso,,,False,False,False,True
58,lucas_ti,2023-11-05 06:33:21,53.226.206.26,Sucesso,,,False,False,True,True
59,carlos_rh,2023-10-26 19:48:42,236.148.141.58,Sucesso,,,False,False,True,True
60,ana_vendas,2023-10-30 05:48:46,99.119.36.122,Sucesso,,,False,False,True,True
61,renato_log,2023-10-28 19:57:18,103.31.181.123,Sucesso,,,False,False,True,True
65,fernanda_sup,2023-11-21 00:52:52,58.147.37.143,Sucesso,,,False,False,True,True
66,camila_dp,2023-10-30 19:22:22,224.47.36.55,Sucesso,,,False,False,True,True
69,rafael_ops,2023-11-14 11:24:42,215.205.224.110,Sucesso,,,False,False,False,True
77,ana_vendas,2023-12-05 23:40:00,77.103.71.203,Sucesso,,,False,False,True,True
78,tiago_suporte,2023-12-09 15:16:14,224.102.240.200,Sucesso,,,False,False,False,True
80,camila_dp,2023-12-05 02:06:09,83.181.104.99,Sucesso,,,False,False,True,True
81,fernanda_sup,2023-11-03 23:37:26,206.181.57.42,Sucesso,,,False,False,True,True
85,camila_dp,2023-12-01 08:47:51,145.246.106.177,Sucesso,,,False,False,False,True
86,marina_mkt,2023-11-17 12:46:54,108.34.200.45,Sucesso,,,False,False,False,True
90,paulo_fin,2023-11-28 00:35:00,63.243.161.110,Sucesso,,,False,False,True,True
91,joao_dev,2023-12-05 01:40:09,81.75.231.169,Sucesso,,,False,False,True,True
92,camila_dp,2023-11-03 19:02:00,144.93.73.212,Sucesso,,,False,False,True,True
96,renato_log,2023-11-07 06:59:53,174.111.137.171,Sucesso,,,False,False,True,True
103,carlos_rh,2023-11-12 09:05:02,169.96.185.67,Sucesso,,,False,False,False,True
111,marina_mkt,2023-11-20 11:37:19,36.239.104.3,Sucesso,,,False,False,False,True
112,adm_jose,2023-11-26 08:24:24,115.114.119.51,Sucesso,,,False,False,False,True
113,lucas_ti,2023-11-10 11:37:12,199.151.164.162,Sucesso,,,False,False,False,True
117,aline_com,2023-11-25 16:00:36,114.218.114.209,Sucesso,,,False,False,False,True
122,joao_dev,2023-11-05 17:32:53,3.116.156.245,Sucesso,,,False,False,False,True
123,renato_log,2023-11-20 03:16:04,31.167.98.111,Sucesso,,,False,False,True,True
124,aline_com,2023-11-22 22:50:43,133.200.251.200,Sucesso,,,False,False,True,True
125,renato_log,2023-11-16 00:06:15,185.85.169.150,Sucesso,,,False,False,True,True
128,aline_com,2023-11-12 00:45:25,189.30.16.208,Sucesso,,,False,False,True,True
129,joao_dev,2023-12-06 17:46:50,76.151.226.235,Sucesso,,,False,False,False,True
130,sandra_gp,2023-10-27 12:30:57,143.151.9.101,Sucesso,,,False,False,False,True
135,fernanda_sup,2023-11-30 20:27:12,176.3.246.44,Sucesso,,,False,False,True,True
136,rafael_ops,2023-12-08 08:05:59,203.76.200.239,Sucesso,,,False,False,False,True
138,sandra_gp,2023-11-09 11:16:44,231.8.46.42,Sucesso,,,False,False,False,True
143,fernanda_sup,2023-10-26 20:03:59,88.216.84.210,Sucesso,,,False,False,True,True
144,tiago_suporte,2023-11-03 06:37:40,31.5.232.130,Sucesso,,,False,False,True,True
151,rafael_ops,2023-12-07 22:02:10,200.45.141.205,Sucesso,,,False,False,True,True
154,carlos_rh,2023-12-04 03:46:56,163.78.188.211,Sucesso,,,False,False,True,True
156,renato_log,2023-11-27 13:58:09,6.15.79.76,Sucesso,,,False,False,False,True
157,sandra_gp,2023-11-10 18:12:00,79.125.108.235,Sucesso,,,False,False,True,True
162,paulo_fin,2023-11-17 01:58:11,196.234.187.249,Sucesso,,,False,False,True,True
167,rafael_ops,2023-12-06 23:10:19,11.70.4.195,Sucesso,,,False,False,True,True
168,fernanda_sup,2023-11-03 14:06:47,81.22.53.151,Sucesso,,,False,False,False,True
172,adm_jose,2023-10-27 13:21:46,199.133.96.49,Sucesso,,,False,False,False,True
175,tiago_suporte,2023-11-06 00:39:10,110.222.201.26,Sucesso,,,False,False,True,True
177,marina_mkt,2023-12-09 13:49:03,131.175.165.1,Sucesso,,,False,False,False,True
178,fernanda_sup,2023-11-27 00:18:10,205.80.9.28,Sucesso,,,False,False,True,True
180,rafael_ops,2023-11-08 10:01:06,69.102.36.77,Sucesso,,,False,False,False,True
184,bruna_ads,2023-12-08 14:21:02,226.189.28.74,Sucesso,,,False,False,False,True
185,tiago_suporte,2023-10-25 15:59:02,192.63.242.87,Sucesso,,,False,False,False,True
187,fernanda_sup,2023-11-11 13:01:39,209.106.222.155,Sucesso,,,False,False,False,True
191,renato_log,2023-11-23 00:55:42,32.176.63.14,Sucesso,,,False,False,True,True
194,lucas_ti,2023-12-05 06:36:45,75.223.150.138,Sucesso,,,False,False,True,True
197,camila_dp,2023-11-23 04:37:52,30.59.53.92,Sucesso,,,False,False,True,True
198,adm_jose,2023-11-01 18:41:56,38.100.217.98,Sucesso,,,False,False,True,True
